date,Brugnera,Capriva del Friuli,Cervignano del Friuli,Cividale del Friuli,Codroipo,Enemonzo,Fagagna,Fossalon,Gemona del Friuli,Gradisca d'Is.,Lignano,Monte Zoncolan,Musi,Palazzolo dello Stella,San Vito al Tgl.,Sgonico-Zgonik,Talmassons,Tarvisio,Trieste molo F.lli Bandiera,Udine S.O.,Vivaro
2004-1,13.2,32.4,30.0,34.8,21.4,4.4,14.8,18.4,14.4,21.2,22.6,,32.2,22.8,19.6,34.2,22.8,14.6,22.8,28.2,14.0
2004-2,43.2,54.4,43.0,70.6,56.0,27.4,77.4,38.8,70.2,54.2,39.2,,62.6,39.6,45.8,46.6,47.2,21.0,39.8,63.4,60.2
2004-3,26.6,21.8,30.3,19.4,29.2,23.0,22.4,22.6,18.2,22.6,33.2,,44.8,41.6,35.4,23.2,31.0,25.2,13.6,17.4,23.4
2004-4,23.2,25.0,14.0,35.6,15.6,47.2,15.4,12.4,34.0,21.8,11.6,,54.8,18.4,18.0,20.2,14.0,29.2,9.2,18.0,19.8
2004-5,30.8,20.8,29.6,48.4,32.2,86.4,41.4,19.0,44.4,19.0,13.6,,85.8,34.2,33.0,22.6,73.2,44.0,19.6,42.4,41.2
2004-6,28.4,48.6,31.5,26.6,17.4,48.8,52.4,29.0,37.8,40.6,33.2,,73.0,52.6,22.0,27.2,37.8,49.6,22.0,31.6,27.2
2004-7,22.6,18.0,8.6,31.8,21.6,21.4,22.2,17.2,40.6,29.6,14.0,,51.2,16.0,13.4,60.2,10.4,48.0,19.8,23.6,22.2
2004-8,28.6,27.0,62.2,77.4,57.6,64.0,67.6,10.0,108.2,25.8,10.0,,122.2,40.2,38.6,10.4,24.2,42.6,16.2,61.6,70.4
2004-9,36.0,72.4,26.9,29.2,39.0,60.0,28.8,54.4,50.4,55.2,25.6,,99.8,32.4,25.8,31.2,28.2,46.0,43.8,31.2,53.4
2004-10,107.0,86.8,50.0,113.8,94.2,147.4,118.8,55.2,158.4,84.0,46.2,,174.8,116.4,62.4,51.8,77.8,83.8,52.2,93.8,106.0
2004-11,56.6,82.6,82.7,67.0,77.4,81.4,81.8,70.2,93.4,54.8,61.2,,98.8,74.6,41.0,56.0,80.6,36.0,37.8,81.4,50.2
2004-12,37.6,82.6,49.7,87.2,93.8,93.4,75.0,34.8,92.0,60.0,52.2,,144.0,107.4,46.0,47.0,68.8,71.2,22.8,79.8,59.4
2005-1,4.6,11.4,9.3,8.2,10.8,3.0,8.6,8.8,1.2,9.8,12.2,,5.4,14.2,11.0,8.0,11.4,3.2,7.4,9.2,7.2
2005-2,12.6,11.0,10.8,3.2,7.2,14.6,8.6,5.0,5.2,5.6,5.2,,4.4,12.6,7.2,4.0,7.6,5.6,3.2,5.4,9.0
2005-3,5.0,23.6,14.2,21.2,16.0,6.6,14.8,12.2,7.8,19.8,11.8,,23.6,13.6,7.8,24.6,15.8,12.2,19.8,17.6,8.8
2005-4,31.6,43.6,27.3,64.6,54.2,31.0,58.2,30.4,45.2,37.0,20.6,,110.0,24.8,39.6,30.2,46.4,60.2,20.0,67.4,48.0
2005-5,16.0,43.4,23.1,23.4,25.8,30.8,34.6,17.8,28.8,35.4,18.6,,55.8,18.4,21.4,28.0,16.4,27.2,19.4,17.6,27.6
2005-6,44.4,43.8,9.4,32.4,36.0,21.0,54.0,32.8,59.6,15.6,6.2,,93.4,20.2,22.0,14.0,14.2,44.6,20.8,27.4,29.6
2005-7,37.4,99.2,17.6,89.4,25.6,27.6,43.6,26.4,38.2,46.2,8.0,,32.4,31.2,30.6,75.0,35.0,53.0,21.0,47.6,19.4
2005-8,24.8,53.2,64.3,37.0,37.2,32.6,95.4,72.0,25.0,92.0,25.8,,68.2,54.8,46.8,46.8,47.0,24.8,30.0,39.0,42.6
2005-9,109.6,53.8,50.9,133.2,38.4,90.4,40.0,54.8,73.6,125.0,87.4,,117.2,37.8,136.0,62.6,39.4,60.6,56.8,60.4,210.8
2005-10,71.4,30.0,34.5,34.2,55.6,93.0,50.8,27.8,59.6,25.0,35.8,,64.8,53.2,69.6,18.6,40.0,35.4,14.8,46.6,79.6
2005-11,83.2,35.2,34.2,21.0,28.2,31.4,28.8,39.4,31.2,37.8,33.4,,60.4,43.4,44.2,45.0,29.2,51.6,35.2,26.0,37.6
2005-12,35.6,28.4,17.0,54.2,36.6,68.2,49.4,13.8,72.2,22.8,9.0,,101.0,23.6,33.6,26.2,31.0,41.4,26.6,44.8,57.8
2006-1,15.2,25.0,29.9,18.0,15.2,12.2,16.6,25.4,16.0,29.8,17.2,,20.0,21.0,14.6,59.0,23.2,17.6,37.4,19.6,16.0
2006-2,15.6,38.6,18.6,30.8,8.6,43.0,16.0,16.4,48.2,41.0,8.2,,75.8,12.8,11.4,28.2,14.4,31.4,19.8,16.4,42.8
2006-3,26.0,66.2,37.5,71.2,28.8,43.2,53.8,40.4,77.0,46.0,16.4,,157.0,30.6,21.6,44.8,37.8,44.2,28.0,48.2,39.0
2006-4,47.0,16.6,25.3,22.2,41.6,43.0,35.2,20.0,58.2,21.6,20.6,,66.2,38.6,50.4,20.8,33.6,29.8,23.4,37.4,42.6
2006-5,47.6,42.4,40.5,31.2,50.0,25.6,42.6,41.2,53.0,31.6,40.0,,55.2,47.0,43.4,27.2,55.2,19.8,23.2,42.2,40.4
2006-6,14.6,20.6,9.4,8.4,6.8,26.0,26.8,1.0,14.2,15.6,3.2,,26.8,3.4,1.6,7.4,2.8,20.6,0.6,10.4,16.8
2006-7,16.6,17.2,15.8,24.8,18.8,64.8,13.0,12.0,28.4,8.0,12.2,,28.4,29.6,30.8,2.6,13.0,20.0,15.4,59.2,36.2
2006-8,53.4,39.0,28.2,51.8,42.0,41.2,48.0,39.2,87.2,38.4,32.4,,87.2,42.8,33.2,58.8,36.0,51.8,66.6,42.8,44.0
2006-9,122.8,26.2,29.5,28.6,53.8,270.0,31.6,21.4,68.6,18.4,30.0,,114.2,42.8,49.6,15.6,35.6,48.2,12.2,35.2,140.2
2006-10,7.4,13.0,17.6,12.2,14.6,50.2,15.4,11.0,31.4,12.2,21.6,,193.6,21.2,8.4,17.4,16.6,57.0,6.0,17.6,34.6
2006-11,11.8,51.0,47.9,36.8,35.4,17.0,135.0,28.6,73.2,50.0,28.4,,112.8,24.8,21.4,40.6,30.0,28.6,28.4,33.6,15.2
2006-12,49.2,32.6,57.4,39.0,39.2,105.8,41.6,23.4,67.2,38.6,33.0,,109.6,31.0,30.4,34.6,29.4,44.4,18.2,57.2,51.4
2007-1,47.4,17.8,11.3,40.4,39.6,166.4,56.6,9.4,101.4,14.6,10.2,,200.0,11.8,24.6,31.8,17.4,56.2,17.8,43.8,76.6
2007-2,32.2,34.8,41.0,28.0,32.0,22.8,24.4,56.0,32.6,37.6,77.3,,43.8,43.4,29.8,40.0,39.8,13.4,31.8,32.2,26.8
2007-3,25.2,48.6,25.5,56.4,48.8,75.6,66.0,22.0,80.4,36.8,16.6,,157.0,25.6,26.2,63.8,29.6,50.0,27.2,49.6,68.6
2007-4,9.2,0.2,0.2,3.2,0.2,6.8,3.4,0.2,10.8,0.4,0.3,,16.2,0.8,0.6,0.4,0.2,6.6,0.0,3.4,11.0
2007-5,36.4,24.0,30.5,115.4,64.2,52.8,28.2,54.0,39.0,39.2,46.2,,88.2,65.8,27.2,64.0,98.8,28.4,115.2,65.4,46.0
2007-6,34.2,14.2,12.3,25.4,40.4,43.6,51.6,15.4,57.4,15.2,18.4,,60.0,35.6,27.4,18.6,21.8,19.0,23.2,53.8,46.4
2007-7,15.8,29.2,15.9,37.6,46.4,35.4,24.4,14.6,19.0,24.6,3.9,,60.8,23.8,30.8,17.6,35.0,46.6,9.4,69.0,57.6
2007-8,80.2,57.4,28.6,46.0,32.2,57.4,33.4,27.8,44.8,48.0,37.3,,81.4,45.4,41.2,27.2,33.6,28.2,12.4,34.0,43.6
2007-9,60.6,50.8,34.6,49.0,36.0,60.8,87.8,50.0,77.8,50.6,20.8,,108.0,26.0,47.2,63.2,32.6,49.4,37.8,44.6,67.4
2007-10,36.8,35.0,46.0,58.6,72.6,42.0,77.4,13.4,47.0,28.0,44.3,,78.6,32.2,41.2,16.0,47.2,22.4,15.2,66.2,35.4
2007-11,30.8,12.8,13.9,14.6,25.0,128.2,31.8,7.8,82.4,10.0,20.2,,150.8,23.4,16.6,25.4,20.8,36.4,10.2,24.6,59.6
2007-12,5.8,9.8,9.9,11.0,9.4,7.2,7.0,7.6,9.6,9.2,12.8,,27.0,13.0,7.0,11.8,10.2,5.0,5.8,10.2,8.4
2008-1,39.2,51.4,38.1,45.8,61.0,111.2,55.6,31.2,57.8,45.4,49.5,,138.6,59.4,45.0,48.8,47.4,55.4,20.0,65.4,46.2
2008-2,22.8,29.2,26.2,17.6,22.2,25.2,24.4,15.6,42.8,31.4,20.2,,85.4,16.6,21.4,21.2,14.4,24.8,11.2,19.4,21.4
2008-3,30.0,20.4,35.4,30.4,34.2,24.0,49.6,17.8,33.6,26.8,21.5,,63.4,54.8,38.6,25.0,45.0,24.6,17.0,34.0,28.2
2008-4,24.4,20.2,17.5,34.6,25.8,37.6,24.0,18.4,46.6,21.6,18.5,,78.6,24.0,26.8,33.0,22.6,26.4,24.2,28.8,24.2
2008-5,72.6,42.0,69.5,78.2,121.6,100.2,76.6,30.4,66.6,43.4,53.5,,92.0,42.2,87.4,18.0,50.0,42.2,9.8,88.2,82.0
2008-6,36.4,36.0,43.4,42.2,48.5,23.6,24.2,85.8,56.8,49.0,34.7,,93.2,60.2,59.7,28.2,90.6,36.6,37.8,31.8,49.4
2008-7,42.0,74.0,20.7,39.2,35.9,33.0,42.0,66.0,21.2,26.2,27.4,,37.6,26.6,25.8,51.6,25.0,26.8,40.6,45.4,39.3
2008-8,40.6,39.7,40.2,29.1,37.0,70.6,38.0,43.9,59.6,37.5,30.8,,92.8,38.3,37.5,37.1,36.3,144.7,44.8,34.8,41.2
2008-9,31.9,24.0,54.9,80.7,31.2,39.7,40.8,36.7,38.4,31.9,58.2,,62.8,41.1,43.1,25.0,30.4,26.9,10.4,25.0,28.0
2008-10,38.0,33.3,29.5,57.1,86.2,132.8,72.8,49.0,92.5,33.8,21.4,,270.8,36.0,67.1,28.2,40.0,103.0,41.2,51.8,77.1
2008-11,107.5,60.2,101.5,88.5,90.3,69.9,76.0,48.0,72.8,80.2,98.4,,95.0,111.6,116.8,36.9,90.4,50.1,32.2,79.0,116.6
2008-12,68.5,96.3,92.4,84.9,62.6,94.5,91.2,75.1,93.1,92.4,59.0,,146.0,58.7,56.0,62.6,76.9,80.9,31.9,109.7,104.6
2009-1,59.6,40.5,29.8,75.3,50.0,122.4,91.2,13.8,180.2,32.2,11.0,,277.6,25.3,36.4,20.7,32.8,72.2,15.4,64.7,107.0
2009-2,37.8,28.9,38.1,49.6,42.8,53.0,62.6,24.4,89.3,26.0,46.8,,110.8,37.5,34.6,31.9,35.2,40.0,17.5,36.6,41.7
2009-3,108.0,119.1,110.2,122.0,111.9,79.6,117.3,90.3,121.2,109.5,116.2,,153.4,95.7,118.2,112.1,89.7,58.3,74.8,115.0,112.5
2009-4,39.3,21.7,24.5,27.9,20.7,42.6,46.4,14.3,35.0,23.9,20.2,,71.6,19.8,33.0,20.6,18.5,23.3,8.9,27.4,24.1
2009-5,16.4,13.4,16.7,20.2,14.9,27.2,14.3,9.3,32.4,14.8,17.0,,36.4,10.8,18.3,23.1,10.8,32.5,17.8,9.9,14.0
2009-6,57.7,51.2,86.6,54.7,79.8,102.8,55.2,71.1,78.2,58.8,27.2,,134.2,27.6,41.9,99.4,27.4,79.0,43.3,46.5,37.4
2009-7,45.8,31.2,20.6,39.3,49.7,24.2,69.4,10.3,39.9,44.9,26.7,,44.0,26.8,29.3,27.0,16.4,54.8,24.4,56.6,34.4
2009-8,19.1,25.6,29.0,16.8,19.8,25.7,9.3,23.2,83.2,41.5,7.4,,26.0,11.3,13.4,22.9,43.3,37.8,10.5,30.2,71.0
2009-9,49.7,33.1,53.4,44.5,52.0,59.9,43.9,76.9,64.8,34.8,86.0,,96.0,47.4,48.6,20.8,41.0,126.3,17.6,44.7,42.5
2009-10,65.7,54.5,37.9,34.5,22.8,79.3,13.4,27.0,51.7,33.8,21.9,,144.8,17.4,35.0,66.1,19.6,35.1,11.6,33.9,53.2
2009-11,41.7,28.9,50.6,34.1,53.3,136.4,31.8,31.7,61.1,30.0,64.7,,85.4,97.0,46.0,33.9,48.9,82.1,27.5,48.5,42.6
2009-12,86.5,54.0,39.8,58.2,51.5,84.6,154.4,54.2,153.3,54.1,40.4,,292.8,35.2,51.5,74.5,32.3,50.1,53.0,49.4,138.6
2010-1,47.7,17.9,27.1,26.9,34.4,45.8,29.4,24.3,33.8,26.1,26.4,,36.6,40.0,42.6,34.5,27.7,20.2,15.6,31.4,38.2
2010-2,60.8,83.6,70.6,90.0,75.1,60.0,69.6,35.2,71.7,73.5,43.6,,102.0,64.5,74.0,49.6,87.7,43.1,21.7,83.4,60.1
2010-3,14.6,18.1,13.8,20.1,15.1,33.7,16.9,14.6,24.1,20.2,10.5,,63.0,12.4,12.5,23.3,12.9,23.5,22.3,15.4,15.5
2010-4,14.8,12.8,12.5,23.4,26.9,31.3,21.6,17.0,15.5,15.4,12.4,,35.8,15.6,14.4,26.1,18.0,24.8,7.2,35.4,6.9
2010-5,50.4,38.3,34.9,35.6,31.4,66.3,52.0,35.9,69.1,36.1,75.3,,88.4,30.0,33.7,26.8,33.4,40.5,20.0,40.9,50.5
2010-6,34.3,26.9,29.2,23.2,33.6,45.8,24.7,39.5,46.2,38.0,40.8,,42.8,32.3,56.4,25.4,31.8,25.7,60.6,27.0,48.8
2010-7,24.6,63.3,52.8,58.6,37.1,82.3,21.4,89.7,34.5,56.6,43.2,,33.8,55.4,38.9,70.9,53.9,38.2,63.7,38.6,45.5
2010-8,20.7,33.8,23.6,28.7,38.3,108.5,23.6,31.2,74.6,35.3,22.0,,70.4,20.2,23.3,65.2,35.1,37.9,28.9,30.0,22.1
2010-9,60.3,99.0,100.3,62.1,37.6,85.5,75.9,84.6,89.1,92.3,81.5,,169.8,82.5,76.4,183.6,68.6,67.1,133.1,40.7,67.4
2010-10,57.6,41.5,62.1,48.1,78.4,110.7,61.0,39.8,102.9,52.9,56.7,,179.8,67.1,70.2,39.3,76.4,67.2,22.6,78.4,94.8
2010-11,97.4,82.6,56.6,54.3,43.3,120.1,81.9,48.9,84.5,62.8,46.3,,79.8,43.2,70.8,45.3,44.5,41.2,32.4,42.7,105.1
2010-12,48.0,46.7,41.3,51.7,39.8,114.6,60.0,41.0,111.6,43.4,38.7,,136.8,39.5,51.1,44.1,45.5,62.2,33.4,55.0,67.4
2011-1,18.3,41.0,21.0,36.6,38.0,24.7,43.3,24.3,39.8,37.5,21.2,,87.8,29.9,18.7,16.0,46.8,32.6,10.8,56.3,23.0
2011-2,39.4,27.5,39.2,29.3,36.1,44.2,43.0,33.8,43.2,31.0,46.6,,73.4,37.9,52.8,31.0,31.8,17.2,12.7,35.3,49.5
2011-3,93.4,70.3,97.6,61.7,105.2,83.5,80.9,67.0,86.4,77.0,70.3,,121.2,89.2,95.4,64.2,89.5,56.1,25.1,87.7,98.2
2011-4,5.1,8.3,8.1,10.9,3.9,14.3,23.0,10.1,20.6,7.1,7.8,,28.0,2.4,5.7,15.3,3.9,16.6,11.1,5.5,8.3
2011-5,32.3,55.0,43.1,48.2,45.3,133.7,37.6,34.5,35.3,42.2,19.9,,78.6,27.0,32.4,46.3,49.3,55.8,24.1,49.9,26.3
2011-6,37.2,44.1,56.6,50.5,51.2,56.7,53.1,33.6,47.7,45.1,82.2,,83.6,78.6,50.8,25.6,65.9,57.6,15.4,65.2,29.9
2011-7,27.8,60.0,25.4,27.6,66.8,41.8,27.0,32.6,74.9,38.0,30.3,,64.2,18.1,34.2,44.1,28.7,51.9,38.7,51.6,43.5
2011-8,7.9,2.1,0.6,23.4,30.9,43.5,42.7,9.9,52.0,4.0,11.4,,63.2,1.5,50.5,6.6,2.3,42.1,2.5,8.9,9.8
2011-9,41.2,39.2,29.5,41.7,26.5,76.5,60.7,37.2,82.0,44.7,28.0,,92.0,36.5,41.8,48.4,40.7,90.9,36.8,40.7,40.1
2011-10,52.4,68.1,97.1,71.6,51.6,91.5,72.2,72.1,91.3,68.9,32.7,,178.0,49.1,39.8,71.1,71.6,65.7,34.9,62.2,77.4
2011-11,22.5,16.6,17.8,10.4,13.7,48.0,9.7,7.5,17.9,13.7,13.1,,122.0,13.8,18.7,2.4,9.3,8.3,0.6,9.2,21.0
2011-12,17.1,27.8,22.0,23.6,16.6,17.3,18.2,10.0,28.7,16.7,8.8,,85.0,11.4,13.3,43.7,14.5,26.6,11.0,20.2,17.7
2012-1,13.0,18.5,17.3,23.9,19.2,14.6,25.7,19.0,32.3,23.9,11.5,,56.4,13.8,10.8,23.9,15.3,21.7,7.2,31.0,14.5
2012-2,16.8,12.0,25.7,10.1,19.0,3.9,20.0,12.6,6.1,14.3,15.8,,10.0,17.7,18.9,22.3,18.3,9.8,14.1,16.7,14.5
2012-3,13.8,1.7,0.9,3.8,2.2,36.3,4.7,0.9,13.0,1.1,0.8,,34.6,1.3,2.1,8.2,1.7,12.1,5.3,4.3,8.1
2012-4,30.6,34.6,23.0,50.7,38.0,52.1,32.7,13.8,69.8,34.1,34.5,,91.2,27.2,28.8,24.2,37.2,47.9,13.8,65.8,42.0
2012-5,42.3,21.0,42.7,36.3,32.1,46.6,28.9,38.5,56.7,28.4,31.9,,74.8,35.2,25.6,23.0,37.6,39.8,24.3,23.6,50.3
2012-6,10.4,32.8,29.4,37.1,26.8,56.1,66.2,26.0,70.7,37.8,18.1,,60.2,34.8,55.6,22.0,38.4,25.5,15.7,49.7,38.8
2012-7,37.9,33.1,25.2,39.7,26.5,51.3,35.8,10.9,64.0,23.8,7.2,,83.8,4.0,41.5,21.7,27.2,48.8,21.6,18.5,67.9
2012-8,15.8,34.8,10.0,48.4,55.3,77.4,143.3,9.6,78.0,24.4,17.1,,136.6,100.7,55.4,26.7,65.3,59.3,16.0,44.4,25.3
2012-9,50.2,57.4,61.6,86.0,94.5,115.6,64.1,71.5,76.4,48.1,59.4,,102.4,105.8,80.5,62.8,82.3,70.1,46.7,78.1,76.0
2012-10,37.5,87.9,76.1,64.8,52.3,106.4,54.2,47.5,87.1,117.6,53.4,,104.2,52.9,25.6,69.4,58.8,60.6,34.7,66.1,53.0
2012-11,127.0,57.0,46.9,47.1,52.9,212.5,82.0,52.1,181.3,50.0,53.8,,264.8,44.8,57.5,55.8,42.4,73.8,36.8,46.6,143.1
2012-12,24.8,47.2,34.2,46.7,34.9,13.7,36.8,27.1,34.4,38.7,24.0,,61.6,27.8,29.1,50.4,29.8,20.2,21.6,40.3,25.5
2013-1,13.0,27.8,29.1,28.8,17.9,19.5,27.3,22.9,33.5,23.1,21.7,,69.6,17.1,22.4,38.6,18.4,16.5,22.6,30.3,25.8
2013-2,33.7,66.0,88.3,73.9,69.1,26.9,57.2,69.8,52.5,67.2,78.4,,82.4,74.9,49.4,54.8,62.3,47.4,45.9,67.0,28.1
2013-3,60.2,53.4,51.9,65.2,84.8,69.8,75.8,49.9,77.8,56.7,67.2,,119.2,60.2,66.8,53.4,50.1,60.9,29.6,73.3,66.0
2013-4,56.7,12.7,14.1,25.2,10.5,50.7,14.0,19.0,34.8,13.4,20.4,,71.4,16.6,13.8,19.5,9.9,15.1,26.2,13.4,43.7
2013-5,65.4,101.0,116.2,51.6,48.4,85.0,73.0,31.3,50.7,68.3,30.3,,76.6,38.4,63.1,37.0,39.7,39.9,22.3,47.7,59.3
2013-6,35.4,21.1,12.5,42.3,29.5,84.0,20.3,4.3,44.1,13.9,13.9,,62.4,20.0,26.3,26.3,7.1,26.0,16.6,17.3,21.6
2013-7,17.3,17.1,22.0,32.4,23.4,20.5,20.0,11.6,16.3,22.5,16.3,,23.8,11.8,37.2,5.2,18.0,26.6,10.0,34.1,17.5
2013-8,25.6,17.5,20.3,23.8,41.1,59.4,20.1,30.2,42.4,20.6,34.4,,97.2,25.6,23.5,32.1,19.6,56.2,15.0,18.3,58.3
2013-9,26.4,51.4,89.4,237.1,76.9,20.4,72.9,22.7,44.3,71.1,73.6,,78.0,128.3,35.6,55.3,159.2,26.9,33.7,117.2,31.6
